pattern_id,pattern_name,erroneous_thought,correction_rule,trigger_keywords,severity,embedding_text
AP014,Berkson's Paradox,"In this selected sample, X and Y are negatively correlated (so X prevents Y).","Selection on a common effect creates spurious negative correlation between causes. Hospital samples are particularly prone. Consider selection mechanism.","hospital|clinic|selected sample|referred patients",high,"Berkson's paradox from selection on common effect. In samples selected based on having a condition, causes of that condition appear spuriously negatively correlated. Common in hospital-based studies."
AP015,Simpson's Paradox Ignorance,"Overall X causes Y (but subgroups show opposite).","Aggregated trends can reverse when disaggregated. Always check subgroup consistency. Identify confounding variable driving reversal.","overall|combined|total|aggregate shows",high,"Simpson's paradox in aggregated data. Direction of association can reverse when data is disaggregated into subgroups. Must analyze at appropriate level and identify confounding structure."
AP016,Omitted Variable Bias,"The coefficient measures the true causal effect.","Regression coefficients are biased if relevant variables are omitted. Unmeasured confounders bias estimates. List omitted variables and bias direction.","coefficient|regression|model shows|beta",medium,"Omitted variable bias in regression. Excluding relevant confounders from regression biases coefficient estimates. Bias direction depends on correlations between omitted variable, exposure, and outcome."
AP017,Measurement Error Dismissal,"The measured association equals the true association.","Measurement error attenuates or inflates associations. Non-differential error biases toward null. Differential error biases unpredictably.","measured|observed|recorded|data shows",medium,"Ignoring measurement error impact. Measurement error in variables can attenuate (bias toward null) or inflate associations. Differential measurement error creates unpredictable bias."
AP018,P-Value Causation,"P < 0.05 means X causes Y.","Statistical significance indicates unlikeliness under null hypothesis, NOT causation or practical importance. Effect size and mechanism matter more.","significant|p-value|p <|statistically",medium,"Misinterpreting p-values as causal evidence. Statistical significance only indicates the data is unlikely under null hypothesis. Does not prove causation, practical significance, or effect size."
AP019,Absence-Evidence Confusion,"No evidence of effect means no effect exists.","Absence of evidence is not evidence of absence. Null findings may reflect low power, measurement issues, or inappropriate timing. Calculate power.","no effect|not significant|null result|failed to find",medium,"Confusing absence of evidence with evidence of absence. Null findings may result from insufficient statistical power, poor measurement, wrong timing, or true null effect. Distinguish these."
AP020,Intention-Violation Bias,"Per-protocol analysis shows true effect (ignoring dropouts).","Per-protocol analysis is biased by differential dropout. Intention-to-treat preserves randomization benefits. Report both analyses.","per-protocol|completers|adherers|those who completed",high,"Intention-to-treat violation bias. Per-protocol analysis excluding non-adherers or dropouts destroys randomization benefits and introduces selection bias. Use intention-to-treat as primary analysis."
AP021,Cherry-Picking Subgroups,"This subgroup shows effect, proving causation.","Post-hoc subgroup discoveries require replication. Multiple comparisons inflate false positives. Report all subgroups tested.","subgroup|subset|when we look at|among",medium,"Cherry-picking subgroups for desired results. Post-hoc subgroup analysis with many comparisons inflates false positive rate. Requires pre-specification or replication to validate subgroup findings."
AP022,Dose-Response Absence Dismissal,"No gradient, but X still causes Y.","Absence of dose-response weakens causal inference for monotonic relationships. Exception: threshold effects. Explain missing gradient.","same effect|no gradient|plateau|flat",low,"Dismissing absence of dose-response relationship. For most causal relationships, more exposure should produce more effect. Absence of gradient weakens causal inference unless threshold mechanism is established."
AP023,Hawthorne Effect Ignorance,"Observed behavior change proves intervention worked.","Being observed changes behavior (Hawthorne effect). Improvement may reflect observation, not intervention. Require unobserved control.","observed|monitored|watched|studied",medium,"Ignoring Hawthorne effect. Observation itself modifies behavior. Apparent intervention effects may be observation effects. Requires blinding or unobserved controls."
AP024,Recall Bias Blindness,"Retrospective reports accurately capture past exposure.","Retrospective reports are subject to recall bias. Cases may remember exposures differently than controls. Use prospective data or objective records.","recalled|remembered|reported|self-reported",medium,"Recall bias in retrospective studies. Participants with outcomes may recall exposures differently than those without. Use prospective designs or objective exposure records when possible."
AP025,Healthy User Bias,"Treatment users had better outcomes (ignoring selection).","People who engage in healthy behaviors (like taking supplements) differ systematically from non-users. Selection into treatment confounds effect.","users|takers|those who|people who chose",high,"Healthy user bias in observational studies. People who choose treatments or healthy behaviors differ systematically from non-users. Selection into treatment group confounds apparent treatment effect."
