procedure_id,procedure_name,step_sequence,constraint_type,trigger_context,required_outputs,enforcement_level,suggested_tool_ids,embedding_text
PROC011,Alternative Explanation Generation,"1. State primary hypothesis|2. Generate at least 3 alternative explanations|3. For each alternative, identify distinguishing predictions|4. Rank alternatives by plausibility|5. Identify evidence that would rule out each|6. Avoid premature dismissal",mandatory,hypothesis_evaluation,"{'primary_hypothesis': 'str', 'alternatives': 'List[str]', 'distinguishing_features': 'Dict', 'plausibility_ranks': 'List[Tuple]'}",strict,"hr_001,hr_002,cmt_003","Alternative explanation generation procedure for hypothesis testing. States primary hypothesis, generates alternatives, identifies distinguishing predictions, ranks by plausibility using Bayesian scoring, and identifies falsifying evidence for each."
PROC012,Dose-Response Check,"1. Identify if gradient exists (more X → more Y)|2. Check monotonicity|3. Look for thresholds|4. Identify plateaus or saturation|5. Consider U-shaped relationships|6. Evaluate against causal expectation",recommended,gradient_analysis,"{'dose_response_pattern': 'str', 'monotonicity': 'bool', 'thresholds': 'List[float]', 'causal_expectation': 'str'}",moderate,"cmt_004,cmt_001","Dose-response check procedure for gradient analysis in causal relationships. Identifies gradients, checks monotonicity, finds thresholds and plateaus, considers non-linear relationships, and evaluates against causal expectations using correlation tools."
PROC013,Experimental Evidence Evaluation,"1. Verify randomization occurred|2. Check allocation concealment|3. Assess blinding (participants/assessors)|4. Evaluate attrition and missing data|5. Check intention-to-treat analysis|6. Identify protocol deviations|7. Rate internal validity",mandatory,experimental_study,"{'randomization_check': 'bool', 'blinding_status': 'Dict', 'attrition_rate': 'float', 'validity_score': 'float'}",strict,"vt_001,hr_001,cmt_006","Experimental evidence evaluation procedure for RCT assessment. Verifies randomization, allocation concealment, blinding, attrition, intention-to-treat analysis, protocol deviations, and rates internal validity using validation and scoring tools."
PROC014,Specificity Assessment,"1. Identify how specific the exposure is|2. Identify how specific the outcome is|3. Check if this exposure causes other outcomes|4. Check if other exposures cause this outcome|5. Evaluate specificity as evidence strength",recommended,causal_specificity,"{'exposure_specificity': 'float', 'outcome_specificity': 'float', 'specificity_score': 'float'}",moderate,"hr_003,gtt_004","Specificity assessment procedure for evaluating causal specificity. Measures exposure and outcome specificity, checks for multiple outcomes per exposure and multiple exposures per outcome, and evaluates specificity as evidence strength using Bradford Hill criteria."
PROC015,Coherence Evaluation,"1. List relevant domain theories|2. Check consistency with biological knowledge|3. Check consistency with physical laws|4. Identify contradictions with established facts|5. Assess overall coherence|6. Identify knowledge gaps",recommended,knowledge_integration,"{'domain_theories': 'List[str]', 'consistency_check': 'Dict', 'contradictions': 'List[str]', 'coherence_score': 'float'}",moderate,"hr_003,gtt_003,ms_001","Coherence evaluation procedure for domain knowledge integration. Lists relevant theories, checks consistency with biological and physical knowledge, identifies contradictions with established facts, and assesses overall coherence using Bradford Hill criteria."
PROC016,Bias Identification Protocol,"1. List all selection criteria|2. Identify selection bias potential|3. Assess measurement bias (differential/non-differential)|4. Check for recall bias|5. Identify observer bias|6. Evaluate confounding by indication|7. Quantify bias impact",mandatory,bias_assessment_needed,"{'bias_types': 'List[str]', 'bias_direction': 'str', 'bias_magnitude': 'float', 'corrected_estimate': 'float'}",strict,"cmt_001,cmt_002,hr_001","Bias identification protocol for systematic bias assessment. Lists selection criteria, identifies selection and measurement bias, checks for recall and observer bias, evaluates confounding by indication, and quantifies bias impact with corrected estimates."
PROC017,Causal Graph Construction,"1. List all variables|2. Draw nodes for each variable|3. Add directed edges for known/hypothesized relationships|4. Identify confounders (common causes)|5. Identify mediators (paths)|6. Identify colliders (common effects - do not condition)|7. Simplify to minimal DAG",mandatory,complex_multivariate,"{'variable_list': 'List[str]', 'DAG_diagram': 'Dict', 'confounders': 'List[str]', 'mediators': 'List[str]', 'colliders': 'List[str]'}",strict,"vt_003,gtt_001,gtt_004,gtt_005","Causal graph construction procedure for complex multivariate problems. Lists variables, creates nodes and directed edges, identifies confounders, mediators, and colliders, and simplifies to minimal DAG using graph validation and traversal tools."
PROC018,Negative Control Analysis,"1. Identify negative control exposure (should have no effect)|2. Identify negative control outcome (should not be affected)|3. Test for spurious associations|4. If spurious associations found, diagnose bias source|5. Adjust inference accordingly",recommended,bias_diagnosis,"{'negative_controls': 'Dict', 'spurious_results': 'List[str]', 'bias_source': 'str', 'adjustment': 'str'}",moderate,"cmt_004,cmt_005,gtt_003","Negative control analysis procedure for bias diagnosis. Identifies negative control exposures and outcomes, tests for spurious associations, diagnoses bias sources, and adjusts inference accordingly using correlation and graph contradiction detection."
PROC019,Sensitivity Analysis,"1. Identify key assumptions|2. For each assumption, vary parameters|3. Re-calculate effect under varied assumptions|4. Identify tipping points where conclusion changes|5. Report robustness of conclusion",recommended,uncertainty_quantification,"{'key_assumptions': 'List[str]', 'parameter_ranges': 'Dict', 'tipping_points': 'List[Dict]', 'robustness_score': 'float'}",moderate,"cmt_001,cmt_002,cmt_003,cmt_007,hr_001","Sensitivity analysis procedure for uncertainty quantification. Identifies key assumptions, varies parameters systematically, recalculates effects, identifies tipping points, and reports robustness score using effect size, confidence interval, and Bayesian tools."
PROC020,Bradford Hill Criteria Application,"1. Strength of association|2. Consistency across studies|3. Specificity|4. Temporality|5. Biological gradient|6. Plausibility|7. Coherence|8. Experimental evidence|9. Analogy|Score each criterion and synthesize",recommended,causal_evidence_synthesis,"{'criterion_scores': 'Dict[str,float]', 'overall_assessment': 'str', 'evidence_strength': 'float'}",moderate,"hr_003,cmt_001,cmt_004,vt_004","Bradford Hill criteria application procedure for causal evidence synthesis. Scores all nine criteria (strength, consistency, specificity, temporality, gradient, plausibility, coherence, experiment, analogy) and synthesizes using the dedicated Bradford Hill scoring tool."
