tool_id,tool_name,class_name,method_name,description,parameters_schema,return_type,usage_example
gtt_005,Identify Bottlenecks,GraphTraversalTools,identify_bottlenecks,"Identify bottleneck nodes that appear in all paths from source to target. Critical mediators that control the flow of causality.","{'graph': 'nx.DiGraph', 'source': 'str', 'target': 'str'}","List[str]","GraphTraversalTools.identify_bottlenecks(graph=G, source='start', target='end')"
hr_001,Score Hypothesis,HypothesisRanking,score_hypothesis,"Score a single hypothesis based on evidence quality, weight, and penalties. deterministic scoring engine.","{'hypothesis': 'Dict', 'evidence_list': 'List[EvidenceScore]', 'penalties': 'Optional[Dict]'}","float","HypothesisRanking.score_hypothesis(hypothesis=h1, evidence_list=ev_list)"
hr_002,Rank Hypotheses,HypothesisRanking,rank_hypotheses,"Rank multiple hypotheses deterministically based on evidence scores. Sorting logic for competing causal explanations.","{'hypotheses': 'List[Dict]', 'evidence_map': 'Dict', 'penalties': 'Optional[Dict]'}","List[Tuple[Dict, float]]","HypothesisRanking.rank_hypotheses(hypotheses=h_list, evidence_map=e_map)"
hr_003,Bradford Hill Criteria,HypothesisRanking,apply_bradford_hill_criteria,"Evaluate causal strength using Bradford Hill criteria like temporality, specificity, and coherence. The gold standard for causal inference validation.","{'strength': 'float', 'consistency': 'float', 'specificity': 'float', 'temporality': 'float', 'gradient': 'float', 'plausibility': 'float', 'coherence': 'float', 'experiment': 'float', 'analogy': 'float'}","float","HypothesisRanking.apply_bradford_hill_criteria(strength=0.8, temporality=1.0, consistency=0.9, ...)"
vt_001,Validate Plan Completeness,ValidationTools,validate_plan_completeness,"Check if a reasoning plan contains all required fields. Ensures structural integrity of cognitive artifacts.","{'plan': 'Dict', 'required_fields': 'List[str]'}","Tuple[bool, List[str]]","ValidationTools.validate_plan_completeness(plan=my_plan, required_fields=['goal', 'steps'])"
vt_002,Enforce Token Budget,ValidationTools,enforce_token_budget,"Truncate text to fit within a specific token budget. Prevents context overflow in LLM calls.","{'text': 'str', 'max_tokens': 'int', 'tokenizer_avg_chars_per_token': 'float=4.0'}","str","ValidationTools.enforce_token_budget(text=long_text, max_tokens=1000)"
vt_003,Check DAG Validity,ValidationTools,check_dag_validity,"Verify if a graph is a valid Directed Acyclic Graph (DAG) by checking for cycles. logic gate for causal diagrams.","{'graph': 'nx.DiGraph'}","Tuple[bool, Optional[List]]","ValidationTools.check_dag_validity(graph=G)"
vt_004,Verify Temporal Consistency,ValidationTools,verify_temporal_consistency,"Check that causes chronologically precede their effects in a list of events. Enforces causality's primary law.","{'events': 'List[Dict]', 'time_key': 'str=timestamp'}","Tuple[bool, List[str]]","ValidationTools.verify_temporal_consistency(events=event_log)"
ms_001,Score Memory Relevance,MemoryScoring,score_memory_relevance,"Score memory relevance using embeddings, recency, and importance. Deterministic retrieval grading.","{'memory_embedding': 'np.ndarray', 'query_embedding': 'np.ndarray', 'recency_weight': 'float', 'importance_weight': 'float'}","float","MemoryScoring.score_memory_relevance(memory_embedding=emb1, query_embedding=q_emb)"
ms_002,Rank Memories,MemoryScoring,rank_memories,"Rank memories by relevance and return top-k. Deterministic sorting for context retrieval.","{'memories': 'List[Dict]', 'query_embedding': 'np.ndarray', 'top_k': 'int=10'}","List[Tuple[Dict, float]]","MemoryScoring.rank_memories(memories=all_mems, query_embedding=q_emb)"
cmt_007,Sensitivity Analysis,CausalMathTools,calculate_tipping_point,"Calculates the robustness of a causal claim against unmeasured confounders. Provides a 'Tipping Point' score.","{'observed_effect': 'float', 'standard_error': 'float', 'alpha': 'float=0.05'}","Dict[str, float]","CausalMathTools.calculate_tipping_point(observed_effect=2.5, standard_error=0.4)"
